Rank,Name,NA_Sales,EU_Sales,Global_Sales
111,Just Dance 4,4.14,2.21,6.91
112,FIFA 14,0.78,4.32,6.9
113,Need for Speed Underground 2,2.71,3.02,6.9
114,Medal of Honor: Frontline,2.93,2.75,6.83
115,Uncharted 3: Drake's Deception,2.77,2.8,6.83
116,Crash Bandicoot,3.23,2.35,6.82
117,Zumba Fitness,3.5,2.64,6.81
118,Gears of War 2,4.15,1.92,6.76
119,Uncharted 2: Among Thieves,3.27,2.25,6.73
120,Call of Duty 4: Modern Warfare,3.1,2.3,6.72
121,FIFA 12,0.84,4.32,6.69
122,Big Brain Academy,1.67,2.78,6.67
123,Red Dead Redemption,2.79,2.61,6.6
124,FIFA 15,0.79,4.29,6.59
125,Donkey Kong Country Returns,3.25,1.84,6.59
126,The Elder Scrolls V: Skyrim,2.55,2.71,6.56
127,The Legend of Zelda,3.74,0.93,6.51
128,Assassin's Creed III,2.64,2.56,6.5
129,Halo: Combat Evolved,4.98,1.3,6.43
130,Pokémon Emerald Version,2.57,1.58,6.41
131,Kingdom Hearts,3.64,1.2,6.4
132,Pokémon Crystal Version,2.55,1.56,6.39
133,Halo 3: ODST,4.34,1.35,6.36
134,Red Dead Redemption,3.7,1.97,6.34
135,Super Mario Sunshine,4.01,1.26,6.31
136,Street Fighter II: The World Warrior,2.47,0.83,6.3
137,World of Warcraft,0.07,6.21,6.28
138,Driver,3.11,2.8,6.27
139,Kinect Sports,3.92,1.78,6.24
140,Gears of War 3,4.05,1.62,6.24
141,Gears of War,3.54,1.9,6.11
142,Metal Gear Solid 2: Sons of Liberty,2.45,2.01,6.05
143,Sonic the Hedgehog 2,4.47,1.2,6.03
144,Metal Gear Solid 4: Guns of the Patriots,2.63,1.74,6.03
145,Metal Gear Solid,3.18,1.83,6.03
146,The Last of Us,2.41,2.28,5.99
147,Final Fantasy XII,1.88,0,5.95
148,LittleBigPlanet,2.8,2.05,5.92
149,Dragon Quest IX: Sentinels of the Starry Skies,0.66,0.69,5.84
150,LEGO Star Wars: The Complete Saga,3.66,1.63,5.83
151,Resident Evil 2,1.88,1.47,5.82
152,Tekken 2,2.26,1.89,5.74
153,Cooking Mama,3.13,1.94,5.72
154,Destiny,2.49,2.05,5.65
155,Tetris,2.97,0.69,5.58
156,Assassin's Creed II,2.54,1.95,5.57
157,Super Smash Bros.,2.95,0.6,5.55
158,Assassin's Creed,3.28,1.65,5.55
159,Batman: Arkham City,2.7,1.91,5.53
160,Forza Motorsport 3,2.99,1.92,5.51
161,Monster Hunter Freedom Unite,0.47,0.57,5.5
162,Super Mario Advance,3.14,1.24,5.49
163,Mario Kart: Super Circuit,2.62,1.64,5.47
164,Super Mario World,3.21,1.11,5.46
165,Pokemon Stadium,3.18,1.24,5.45
166,Call of Duty: World at War,2.72,1.87,5.43
167,Crash Bandicoot: The Wrath of Cortex,2.07,2.29,5.42
168,Minecraft,1.97,2.51,5.42
169,Final Fantasy XIII,1.74,1.24,5.36
170,Dr. Mario,2.18,0.96,5.34
171,Pokemon Pinball,3.02,1.12,5.31
172,Assassin's Creed III,3.13,1.71,5.3
173,Final Fantasy IX,1.62,0.77,5.3
174,Final Fantasy X-2,1.92,1.08,5.29
175,Donkey Kong 64,3.33,0.79,5.27
176,Assassin's Creed II,3.1,1.56,5.27
177,Professor Layton and the Curious Village,1.22,2.48,5.26
178,Tomb Raider II,2.3,2.46,5.24
180,Dragon Quest VIII: Journey of the Cursed King,0.65,0.75,5.21
181,Diablo III,2.43,2.15,5.2
182,Super Mario Bros. 3,2.93,1.25,5.2
183,New Super Mario Bros. U,2.32,1.3,5.19
184,Super Mario Land 3: Wario Land,2.49,0.98,5.19
185,FIFA Soccer 13,1.08,3.48,5.18
186,The Legend of Zelda: Phantom Hourglass,1.9,1.83,5.17
187,Donkey Kong Country 2: Diddy's Kong Quest,2.1,0.74,5.15
188,Tomodachi Life,0.96,2.02,5.15
189,Mario & Sonic at the Olympic Games,1.64,2.48,5.14
190,Medal of Honor: Rising Sun,1.98,2.23,5.13
191,Kirby's Dream Land,2.71,0.61,5.13
192,Fable III,3.59,1.11,5.13
193,Call of Duty: Advanced Warfare,3.21,1.53,5.13
194,Microsoft Flight Simulator,3.22,1.69,5.12
195,Guitar Hero II,3.81,0.63,5.12
196,Resident Evil 5,1.96,1.43,5.11
197,Grand Theft Auto V,2.66,2.01,5.08
198,Grand Theft Auto: Vice City Stories,1.7,2.02,5.08
199,FIFA Soccer 11,0.6,3.29,5.08
200,Super Mario Bros.,3.4,1.3,5.07
201,Resident Evil,2.05,1.16,5.05
202,Tony Hawk's Pro Skater,3.42,1.38,5.02
203,Super Smash Bros. for Wii U and 3DS,2.59,1.06,5.02
204,Warzone 2100,2.79,1.89,5.01
205,Spyro the Dragon,3.36,1.36,5
206,Link's Crossbow Training,3.06,1.18,5
207,Guitar Hero III: Legends of Rock,3.49,0.01,4.98
208,Fallout 3,3.39,1.03,4.96
209,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,1.85,1.2,4.96
210,Uncharted: Drake's Fortune,2.31,1.73,4.94
211,Madden NFL 06,3.98,0.26,4.91
212,LEGO Star Wars: The Complete Saga,2.89,1.54,4.9
213,Diddy Kong Racing,2.91,0.99,4.88
214,Monster Hunter Freedom 3,0,0,4.87
215,Dr. Mario,2.62,0.6,4.85
216,God of War III,2.74,1.36,4.84
217,StarCraft II: Wings of Liberty,2.56,1.68,4.83
218,Assassin's Creed,1.91,2,4.83
219,FIFA 15,0.57,3.14,4.82
220,Crash Team Racing,2.57,1.57,4.79
221,FIFA 17,0.28,3.75,4.77
222,Batman: Arkham City,2.99,1.31,4.76
223,Driver 2,2.36,2.1,4.73
224,The Simpsons: Hit & Run,1.73,2.19,4.7
225,Tony Hawk's Pro Skater 2,3.05,1.41,4.68
226,Animal Crossing: City Folk,1.87,1.12,4.68
227,The Lord of the Rings: The Two Towers,1.94,1.95,4.67
228,Forza Motorsport 4,2.08,2.04,4.64
229,Tomb Raider,2.29,1.97,4.63
230,Guitar Hero III: Legends of Rock,3.06,1.12,4.62
231,The Legend of Zelda: A Link to the Past,2.42,0.91,4.61
232,The Legend of Zelda: The Wind Waker,2.6,0.99,4.6
233,Mario & Sonic at the Olympic Winter Games,1.89,1.99,4.58
234,Luigi's Mansion: Dark Moon,1.78,1.39,4.58
235,Splatoon,1.55,1.15,4.57
236,The Last of Us,1.78,1.87,4.55
237,Guitar Hero III: Legends of Rock,3.19,0.92,4.53
238,Madden NFL 2005,4.18,0.26,4.53
239,Pitfall!,4.21,0.24,4.5
240,Madden NFL 07,3.63,0.24,4.49
241,Spider-Man: The Movie,2.71,1.51,4.48
242,Dragon Quest VII: Warriors of Eden,0.2,0.14,4.47
243,Uncharted: The Nathan Drake Collection,1.96,1.69,4.47
244,Call of Duty: Advanced Warfare,1.54,1.94,4.45
245,God of War,2.71,1.29,4.45
246,Nintendo Land,2.55,1.11,4.44
247,Michael Jackson: The Experience,2.67,1.35,4.42
248,Tony Hawk's Pro Skater 3,2.66,1.29,4.41
249,Winning Eleven: Pro Evolution Soccer 2007,0.1,2.39,4.39
250,The Elder Scrolls IV: Oblivion,2.82,1.05,4.39
251,Zelda II: The Adventure of Link,2.19,0.5,4.38
252,Need for Speed: Most Wanted,2.03,1.79,4.37
253,Resistance: Fall of Man,1.73,1.73,4.35
254,Sonic the Hedgehog,3.03,0.91,4.34
255,Kingdom Hearts II,2.2,0.58,4.33
256,FIFA 14,0.92,2.93,4.31
257,Call of Duty: Advanced Warfare,2.75,1.18,4.31
258,Asteroids,4,0.26,4.31
259,Fable II,2.51,1.27,4.31
260,Halo 5: Guardians,2.64,1.2,4.26
261,Super Mario 3D World,2.11,1.11,4.25
262,Batman: Arkham Asylum,2.23,1.34,4.25
263,Assassin's Creed: Revelations,1.41,2.02,4.24
264,Namco Museum,3,1.11,4.24
265,Metal Gear Solid 3: Snake Eater,1.46,0,4.23
266,Daxter,2.45,1.02,4.22
267,Warcraft II: Tides of Darkness,1.7,2.27,4.21
268,The Legend of Zelda: Ocarina of Time,2.03,1.27,4.21
269,FIFA Soccer 06,0.78,2.55,4.21
270,EyeToy Play,0.88,2.3,4.2
271,Uncharted 4: A Thief's End,1.3,2.07,4.2
272,Gran Turismo 5 Prologue,1.28,1.83,4.2
273,Assassin's Creed: Revelations,2.25,1.47,4.19
274,Street Fighter IV,2.02,1.06,4.19
275,FIFA 12,0.84,2.79,4.19
276,Teenage Mutant Ninja Turtles,3.38,0.44,4.17
277,Excitebike,2.04,0.48,4.16
278,Frogger,3.79,0.27,4.16
279,Madden NFL 2003,3.36,0.21,4.14
280,Watch Dogs,1.4,1.86,4.14
281,Half-Life,4.03,0,4.12
282,Super Mario World 2: Yoshi's Island,1.65,0.61,4.12
283,FIFA Soccer 07,0.71,2.48,4.11
284,The Legend of Zelda: Skyward Sword,2.14,1.2,4.1
285,Street Fighter II Turbo,1.42,0.51,4.1
286,Carnival Games,2.13,1.5,4.1
287,Fallout 4,2.45,1.26,4.09
288,World of Warcraft: The Burning Crusade,2.57,1.52,4.09
289,Fallout: New Vegas,2.65,1.06,4.08
290,God of War II,2.32,0.04,4.07
291,Forza Motorsport 2,2.35,1.28,4.06
292,World Soccer Winning Eleven 9,0.12,2.26,4.06
293,Namco Museum Vol.3,2.28,1.55,4.05
294,Tekken Tag Tournament,1.68,1.51,4.05
295,Far Cry 4,1.12,2.12,4.03
296,Star Fox 64,2.78,0.58,4.03
297,Minecraft,1.38,1.87,4.02
298,Golf,1.22,0.28,4.01
299,Fallout 3,2.15,1.2,4.01
300,Professor Layton and the Diabolical Box,0.92,1.78,4
301,Left 4 Dead 2,2.67,0.89,3.99
302,Namco Museum: 50th Anniversary,2.08,1.35,3.98
303,EA Sports Active,2.1,1.36,3.92
304,Assassin's Creed: Unity,1.18,1.96,3.92
305,Donkey Kong Land,1.97,0.76,3.91
306,Tony Hawk's Underground,2.29,1.17,3.9
307,Assassin's Creed IV: Black Flag,1.33,1.71,3.89
308,Monster Hunter 4 Ultimate,0.67,0.49,3.89
309,MotorStorm,1.53,1.61,3.88
310,The Elder Scrolls V: Skyrim,1.15,2.09,3.88
311,Tekken 5,0.93,1.94,3.87
312,Dragon Warrior III,0.1,0,3.87
313,Sports Champions,2.12,1.14,3.87
314,NBA 2K16,2.48,0.65,3.85
315,World Soccer Winning Eleven 8 International,0.16,1.89,3.85
316,Flash Focus: Vision Training in Minutes a Day,0.87,1.57,3.84
317,Namco Museum Vol.1,2.12,1.44,3.84
318,The Legend of Zelda: Link's Awakening,2.21,0.96,3.83
319,Mario & Luigi: Bowser's Inside Story,2.26,0.48,3.83
320,Big Brain Academy: Wii Degree,1.06,1.93,3.82
321,Nintendogs + cats,1.44,1.37,3.81
322,Batman: Arkham Knight,1.49,1.58,3.79
323,Mario & Sonic at the London 2012 Olympic Games,1.14,1.91,3.78
324,LEGO Indiana Jones: The Original Adventures,2.4,1.03,3.78
325,Resident Evil Director's Cut,1.82,1.24,3.77
326,Ratchet & Clank: Size Matters,1.4,1.4,3.77
327,Just Dance 2014,1.98,1.47,3.76
328,The Sims: Unleashed,2.03,1.56,3.76
329,Super Paper Mario,1.98,0.88,3.76
330,Harry Potter and the Sorcerer's Stone,1.37,2,3.73
331,The Witcher 3: Wild Hunt,0.96,2,3.73
332,Resident Evil 3: Nemesis,1.3,0.77,3.72
333,Spyro: Year of the Dragon,1.93,1.58,3.71
334,FIFA Soccer 2005,0.58,2.48,3.7
335,Pokémon Trading Card Game,1.49,0.73,3.7
336,Battlefield 4,1.3,1.51,3.69
337,MySims,1.59,1.61,3.69
338,Friend Collection,0,0,3.67
339,Tony Hawk's Pro Skater 4,2.13,1.18,3.67
340,Midnight Club 3: DUB Edition,1.65,1.22,3.66
341,Banjo-Kazooie,1.87,1.13,3.65
342,SOCOM: U.S. Navy SEALs,2.53,0.81,3.65
343,Guitar Hero: World Tour,2.33,0.97,3.65
344,Gran Turismo 6,0.71,1.8,3.64
345,Jak and Daxter: The Precursor Legacy,2.08,1.09,3.64
346,Pokemon Snap,2.23,0.68,3.63
347,FIFA Soccer 10,0.6,2.46,3.63
348,Pro Evolution Soccer 2008,0.05,0,3.63
349,Call of Duty: Ghosts,1.78,1.42,3.63
350,Resident Evil 4,2.08,0.83,3.62
351,Tom Clancy's The Division,1.28,1.61,3.61
352,Star Wars: Battlefront,1.93,1.22,3.61
353,Doom II: Hell on Earth,2.05,1.4,3.61
354,The Simpsons: Road Rage,2.02,1.17,3.61
355,Cooking Mama 2: Dinner With Friends,1.61,1.5,3.61
356,Luigi's Mansion,2.38,0.67,3.6
357,Star Wars: Battlefront II,2.18,1.02,3.59
358,WWF SmackDown!,2.01,1.35,3.58
359,Croc: Legend of the Gobbos,1.57,1.79,3.56
360,Grand Theft Auto: Liberty City Stories,1.56,1.4,3.54
361,The Getaway,1.23,1.77,3.54
362,Tomb Raider III: Adventures of Lara Croft,1.66,1.58,3.54
363,James Bond 007: Agent Under Fire,1.9,1.13,3.53
364,LEGO Star Wars: The Video Game,1.98,1.14,3.53
365,Battlefield 4,2.14,1.08,3.53
366,FIFA Soccer 11,0.71,2.4,3.53
367,Rugrats in Paris: The Movie,1.96,1.33,3.52
368,Spyro 2: Ripto's Rage!,2.14,1.21,3.52
369,Left 4 Dead,2.66,0.5,3.52
370,Mario & Sonic at the Olympic Winter Games,1.22,1.66,3.52
371,Resident Evil 5,2.11,0.94,3.51
372,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1.17,0.5,3.51
373,Assassin's Creed: Brotherhood,2.84,0.39,3.5
374,Kung Fu,1.64,0.38,3.5
375,Batman: Arkham Asylum,2.2,0.97,3.5
376,Clubhouse Games,0.59,1.83,3.5
378,Star Wars Battlefront (2015),1.94,1.22,3.49
379,Battlefield: Bad Company 2,2.09,1.02,3.48
380,Guitar Hero: On Tour,2.11,1.01,3.48
381,Assassin's Creed: Unity,2.26,0.89,3.46
382,Far Cry 3,0.88,1.75,3.45
383,Monster Hunter 4,0,0,3.44
384,Borderlands,2.39,0.73,3.44
385,Tekken 4,1.55,1.27,3.44
386,Battlefield 4,1.34,1.54,3.43
387,LittleBigPlanet 2,1.82,1.07,3.42
388,Grand Theft Auto 2,1.13,2.07,3.42
389,Final Fantasy III,0.86,0,3.42
390,Spider-Man 2,1.75,1.2,3.41
391,F-1 Race,1.73,0.69,3.41
392,FIFA Soccer 2003,0.46,2.28,3.4
393,Crash Bash,1.56,1.47,3.39
394,LEGO Batman: The Videogame,2.03,1.03,3.38
395,Metal Gear Solid V: The Phantom Pain,1.08,1.35,3.38
396,The Legend of Zelda: Spirit Tracks,1.43,0.94,3.38
397,WWF War Zone,2.47,0.76,3.36
398,The Legend of Zelda: Majora's Mask,1.9,0.67,3.36
399,Professor Layton and the Unwound Future,0.65,1.61,3.36
400,Rugrats: Search For Reptar,1.63,1.53,3.34
401,Assassin's Creed IV: Black Flag,1.9,1.14,3.34
402,English Training: Have Fun Improving Your Skills!,0,0.99,3.33
403,James Bond 007: Nightfire,1.45,1.29,3.33
404,Ratchet & Clank,1.44,1.01,3.33
405,Mario Party 9,1.15,1.17,3.32
406,Star Wars Episode III: Revenge of the Sith,1.47,1.39,3.32
407,Max Payne,1.99,1.05,3.31
408,The Lord of the Rings: The Return of the King,1.5,1.28,3.28
409,Assassin's Creed Syndicate,0.8,1.92,3.28
410,Destiny,2.13,0.92,3.28
411,True Crime: Streets of LA,1.89,1.05,3.27
412,Wii Music,1.36,1.13,3.27
413,Gran Turismo (PSP),0.5,1.59,3.27
414,Monster Hunter X,0.25,0.19,3.26
415,Tekken,0.95,1.3,3.24
416,FIFA 16,0.88,2.11,3.23
417,L.A. Noire,1.27,1.33,3.23
418,Madden NFL 16,2.33,0.3,3.22
419,Yokai Watch 2 Ganso/Honke,0.03,0,3.22
420,007: Tomorrow Never Dies,1.72,1.33,3.21
421,Baseball,0.73,0.1,3.2
422,Killer Instinct,2.26,0.72,3.2
423,WWF SmackDown! 2: Know Your Role,1.76,1.21,3.2
424,Crisis Core: Final Fantasy VII,1.35,0.6,3.19
425,God of War: Chains of Olympus,1.48,1.01,3.19
426,Dragon Quest VI: Maboroshi no Daichi,0,0,3.19
427,Dance Central,2.15,0.77,3.19
428,Enter the Matrix,1.78,1.12,3.18
429,Super Mario Maker,1.18,0.87,3.18
430,Fallout: New Vegas,1.52,1.08,3.17
432,Rhythm Heaven,0.58,0.51,3.17
433,Ace Combat 04: Shattered Skies,2.06,0.56,3.17
434,Club Penguin: Elite Penguin Force,1.88,0.98,3.16
435,Animal Crossing,1.92,0.16,3.15
436,LEGO Batman: The Videogame,1.79,1.06,3.15
437,Sonic Rush,1.22,1.57,3.15
438,Resident Evil 6,0.88,0.97,3.15
439,Halo: The Master Chief Collection,1.89,0.99,3.15
440,FIFA Soccer 08,0.68,0,3.14
441,Spider-Man,1.7,1.25,3.13
442,Need for Speed III: Hot Pursuit,2.14,0.86,3.12
443,Star Wars Episode I Racer,2.31,0.62,3.12
444,Personal Trainer: Cooking,0.91,1,3.12
445,The Elder Scrolls IV: Oblivion,1.69,0.87,3.12
446,Dragon Warrior IV,0.08,0,3.12
447,Heavy Rain,1.29,1.27,3.12
448,Mass Effect 2,1.99,0.82,3.11
449,FIFA 15,0.78,2.02,3.11
450,Dragon Ball Z: Budokai,2.17,0.28,3.09
451,Madden NFL 2002,2.5,0.16,3.08
452,World Class Track Meet,1.92,0.45,3.08
453,Borderlands 2,1.89,0.91,3.07
454,The Legend of Zelda: A Link Between Worlds,1.4,0.99,3.07
455,Donkey Kong,1.57,0.62,3.07
456,The Sims: Vacation,1.72,1.21,3.07
457,Mass Effect 3,1.94,0.86,3.07
458,Kung Fu Panda,1.91,0.84,3.05
459,Far Cry 3,1.38,1.35,3.04
460,Epic Mickey,2.06,0.64,3.04
461,Saints Row 2,1.94,0.8,3.03
462,Rayman,1.54,1.33,3.03
463,Killzone 2,1.4,1.07,3.02
464,Tom Clancy's Splinter Cell,1.85,1.04,3.02
465,Mike Tyson's Punch-Out!!,2.03,0.47,3.02
466,WWE SmackDown! Shut Your Mouth,1.45,1.13,3.02
467,Gears of War: Ultimate Edition,2.38,0.32,3
468,NBA 2K13,2.6,0.21,3
469,Dragon Ball Z: Budokai Tenkaichi 3,1.15,0,3
471,Middle-Earth: Shadow of Mordor,1.01,1.41,2.99
472,Star Fox,1.61,0.51,2.99
473,The Sims: Livin Large,1.67,1.18,2.99
474,World Soccer Winning Eleven 6 International,0.12,1.26,2.99
475,Devil May Cry,1.36,0.86,2.99
476,Animal Crossing: Happy Home Designer,0.47,1,2.98
477,Battlefield: Bad Company 2,1.33,1.12,2.97
478,The Sims 4,0.96,1.72,2.97
479,Star Wars: The Old Republic,1.58,1.01,2.97
480,Sonic Heroes,1.04,1.37,2.96
481,Kirby Super Star Ultra,1.57,0.04,2.96
482,Hitman 2: Silent Assassin,1.36,1.15,2.96
483,Street Fighter IV,1.82,0.71,2.95
484,Wave Race 64,1.98,0.58,2.94
485,SOCOM II: U.S. Navy SEALs,2.22,0.51,2.94
486,WWE SmackDown! vs. RAW 2006,1.45,1.11,2.94
487,inFAMOUS,1.76,0.69,2.94
488,Pac-Man Collection,2.07,0.77,2.94
489,Mass Effect,1.83,0.8,2.93
490,WarioWare: Smooth Moves,0.87,1.06,2.92
491,Cooking Mama: Cook Off,1.43,1.13,2.91
492,Super Mario World 2: Yoshi's Island,1.75,0.45,2.91
493,FIFA 14,0.61,1.85,2.9
494,Titanfall,1.84,0.8,2.9
495,Sonic Mega Collection Plus,1.54,1.14,2.9
496,Sega Superstars Tennis,1.75,0.86,2.9
497,World Soccer Winning Eleven 7 International,0.08,1.24,2.9
498,Need for Speed: Most Wanted,0.71,1.51,2.89
499,Hot Shots Golf 3,0.99,0.32,2.89
500,Call of Duty: Finest Hour,1.51,1.12,2.89
501,Zumba Fitness 2,1.54,1.07,2.88
502,Syphon Filter,2.03,0.72,2.88
503,Imagine: Babyz,1.3,1.27,2.88
504,Colin McRae Rally,0.09,2.43,2.87
505,Call of Duty: Ghosts,1.87,0.77,2.86
506,Madden NFL 13,2.53,0.16,2.86
507,The Elder Scrolls III: Morrowind,2.09,0.63,2.86
508,Mortal Kombat,1.98,0.55,2.85
509,F-Zero,1.37,0.51,2.85
510,Yoshi's Story,1.29,0.53,2.85
511,Command & Conquer: Red Alert,1.37,1.34,2.85
512,Skylanders: Spyro's Adventure,1.4,1.14,2.85
513,FIFA 16,0.4,1.98,2.85
514,Assassin's Creed: Brotherhood,1.87,0.57,2.84
515,BioShock,1.65,0.86,2.83
516,Madden NFL 10,2.52,0.09,2.83
517,Medal of Honor,1.28,1.05,2.83
518,WWE SmackDown! vs. Raw,1.32,1.08,2.83
519,Metroid Prime,1.96,0.67,2.82
520,Finding Nemo,1.59,1.05,2.82
521,Myst,0.02,2.79,2.81
522,Need for Speed: Hot Pursuit,1.05,1.25,2.81
523,Imagine: Fashion Designer,1.32,1.19,2.81
524,WWE SmackDown! Here Comes the Pain,1.32,1.06,2.8
525,Star Wars: The Force Unleashed,1.74,0.8,2.8
526,Yoshi's Island DS,1.47,0.07,2.8
527,Hot Shots Golf,0.29,0.2,2.79
528,Killzone 3,1.45,0.88,2.79
529,A Bug's Life,1.96,0.72,2.79
530,WWF SmackDown! Just Bring It,1.19,1.15,2.79
531,Dragon Quest V: Tenkuu no Hanayome,0,0,2.79
532,Mortal Kombat Trilogy,1.98,0.7,2.79
533,Battlefield 3,0.89,1.43,2.79
534,NBA Street,2.19,0.22,2.79
535,Professor Layton and the Last Specter,0.3,1.47,2.79
536,Monster Hunter Tri,0.46,0.29,2.79
537,Jak II,1.68,0.74,2.78
538,inFAMOUS: Second Son,1.27,0.97,2.78
539,Ratchet & Clank: Going Commando,1.44,0.83,2.78
540,Tekken 6,1.2,0.98,2.78
541,The Sims,1.41,1.12,2.77
